frame.len,ip.ttl,tcp.srcport,tcp.dstport,frame.time_delta_displayed
86,106.0,443.0,54676.0,0.001015
74,106.0,54676.0,443.0,0.000143
74,106.0,54676.0,443.0,1e-05
745,106.0,54674.0,443.0,0.017139
745,106.0,54674.0,443.0,2.4e-05
747,106.0,54676.0,443.0,0.000576
747,106.0,54676.0,443.0,1.8e-05
74,106.0,443.0,54674.0,0.002497
286,106.0,443.0,54674.0,0.00021
74,106.0,54674.0,443.0,0.000125
74,106.0,54674.0,443.0,1.3e-05
74,106.0,443.0,54676.0,0.000763
286,106.0,443.0,54676.0,0.00068
74,106.0,54676.0,443.0,0.000112
74,106.0,54676.0,443.0,1.1e-05
138,106.0,54674.0,443.0,0.003714
138,106.0,54674.0,443.0,1.7e-05
154,106.0,54674.0,443.0,0.001059
154,106.0,54674.0,443.0,1.3e-05
207,106.0,54674.0,443.0,0.001301
207,106.0,54674.0,443.0,1.5e-05
138,106.0,54676.0,443.0,0.00086
138,106.0,54676.0,443.0,1.7e-05
257,106.0,443.0,54674.0,0.000294
148,106.0,443.0,54674.0,0.0
105,106.0,443.0,54674.0,0.0
154,106.0,54676.0,443.0,0.000133
74,106.0,54674.0,443.0,1.1e-05
154,106.0,54676.0,443.0,3e-06
74,106.0,54674.0,443.0,8e-06
86,106.0,443.0,54673.0,0.000544
74,106.0,54673.0,443.0,0.000162
74,106.0,54673.0,443.0,9e-06
86,106.0,443.0,54677.0,0.000695
74,106.0,54677.0,443.0,0.000181
74,106.0,54677.0,443.0,1e-05
105,106.0,54674.0,443.0,8.5e-05
105,106.0,54674.0,443.0,1.2e-05
109,106.0,443.0,54674.0,0.00046
179,106.0,443.0,54674.0,0.0
105,106.0,443.0,54674.0,0.0
74,106.0,54674.0,443.0,0.000123
74,106.0,54674.0,443.0,1e-05
208,106.0,54676.0,443.0,0.000621
208,106.0,54676.0,443.0,1.2e-05
74,106.0,443.0,54676.0,0.00094
258,106.0,443.0,54676.0,0.0
148,106.0,443.0,54676.0,0.0
105,106.0,443.0,54676.0,0.0
74,106.0,54676.0,443.0,0.000129
74,106.0,54676.0,443.0,9e-06
109,106.0,443.0,54676.0,0.002611
179,106.0,443.0,54676.0,0.0
105,106.0,443.0,54676.0,0.0
74,106.0,54676.0,443.0,0.000192
74,106.0,54676.0,443.0,1.3e-05
74,106.0,54672.0,443.0,0.001515
74,106.0,54672.0,443.0,1.6e-05
105,106.0,54676.0,443.0,0.008094
105,106.0,54676.0,443.0,1.6e-05
719,106.0,54673.0,443.0,0.004346
719,106.0,54673.0,443.0,2.1e-05
732,106.0,54677.0,443.0,0.002011
732,106.0,54677.0,443.0,2.2e-05
74,106.0,443.0,54674.0,0.022424
74,106.0,443.0,54673.0,0.011514
286,106.0,443.0,54673.0,0.0
74,106.0,54673.0,443.0,0.000192
74,106.0,54673.0,443.0,1.2e-05
74,106.0,443.0,54677.0,0.000289
286,106.0,443.0,54677.0,0.000468
74,106.0,54677.0,443.0,0.000126
74,106.0,54677.0,443.0,1.3e-05
138,106.0,54673.0,443.0,0.003998
138,106.0,54673.0,443.0,2e-05
154,106.0,54673.0,443.0,0.000527
154,106.0,54673.0,443.0,1.4e-05
74,106.0,443.0,54676.0,-1e-06
138,106.0,54677.0,443.0,0.000484
138,106.0,54677.0,443.0,1.4e-05
154,106.0,54677.0,443.0,0.000461
154,106.0,54677.0,443.0,1.5e-05
198,106.0,54673.0,443.0,0.000751
198,106.0,54673.0,443.0,1.5e-05
207,106.0,54677.0,443.0,0.000903
207,106.0,54677.0,443.0,1.7e-05
86,106.0,443.0,54675.0,0.00025
74,106.0,54675.0,443.0,0.000195
74,106.0,54675.0,443.0,1.2e-05
732,106.0,54675.0,443.0,0.014505
732,106.0,54675.0,443.0,4.4e-05
102,106.0,52813.0,443.0,0.002101
102,106.0,52813.0,443.0,1.5e-05
102,106.0,52813.0,443.0,0.000442
102,106.0,52813.0,443.0,1.2e-05
74,106.0,443.0,54673.0,0.01352
245,106.0,443.0,54673.0,0.001157
155,106.0,52813.0,443.0,0.0
148,106.0,443.0,54673.0,0.0
105,106.0,443.0,54673.0,0.0
167,106.0,52813.0,443.0,0.0
245,106.0,443.0,54677.0,0.0
148,106.0,443.0,54677.0,0.0
105,106.0,443.0,54677.0,0.0
74,106.0,54673.0,443.0,0.000279
74,106.0,54673.0,443.0,1.3e-05
74,106.0,54677.0,443.0,0.000278
74,106.0,54677.0,443.0,1.1e-05
74,106.0,54673.0,443.0,8.1e-05
74,106.0,54673.0,443.0,9e-06
109,106.0,443.0,54673.0,0.000204
179,106.0,443.0,54673.0,0.0
74,106.0,54673.0,443.0,8.6e-05
74,106.0,54673.0,443.0,9e-06
105,106.0,443.0,54673.0,0.000187
74,106.0,54673.0,443.0,6.4e-05
74,106.0,54673.0,443.0,8e-06
105,106.0,54673.0,443.0,0.00048
105,106.0,54677.0,443.0,7e-06
105,106.0,54673.0,443.0,7e-06
105,106.0,54677.0,443.0,2e-06
109,106.0,443.0,54677.0,1.9e-05
74,106.0,54677.0,443.0,9.1e-05
74,106.0,54677.0,443.0,1.1e-05
179,106.0,443.0,54677.0,0.00054
105,106.0,443.0,54677.0,0.0
74,106.0,54677.0,443.0,0.000108
74,106.0,54677.0,443.0,1.1e-05
86,106.0,54678.0,443.0,0.001949
86,106.0,54678.0,443.0,1.6e-05
86,106.0,443.0,54678.0,0.032706
74,106.0,54678.0,443.0,0.000223
74,106.0,54678.0,443.0,1.3e-05
546,106.0,54678.0,443.0,0.015553
546,106.0,54678.0,443.0,2.9e-05
74,106.0,443.0,54677.0,0.02272
74,106.0,443.0,54673.0,0.000392
74,106.0,443.0,54675.0,0.004999
286,106.0,443.0,54675.0,0.001069
74,106.0,54675.0,443.0,0.000122
74,106.0,54675.0,443.0,1.1e-05
138,106.0,54675.0,443.0,0.005032
138,106.0,54675.0,443.0,2e-05
154,106.0,54675.0,443.0,0.000646
154,106.0,54675.0,443.0,1.4e-05
207,106.0,54675.0,443.0,0.00259
207,106.0,54675.0,443.0,2.8e-05
74,106.0,443.0,54678.0,0.000185
1466,106.0,443.0,54678.0,0.000403
1466,106.0,443.0,54678.0,0.0
468,106.0,443.0,54678.0,0.0
74,106.0,54678.0,443.0,0.000159
74,106.0,54678.0,443.0,1.3e-05
138,106.0,54678.0,443.0,0.011442
138,106.0,54678.0,443.0,1.7e-05
154,106.0,54678.0,443.0,0.001526
154,106.0,54678.0,443.0,1.2e-05
291,106.0,54678.0,443.0,0.00264
291,106.0,54678.0,443.0,1.3e-05
245,106.0,443.0,54678.0,0.030421
148,106.0,443.0,54678.0,0.0
74,106.0,54678.0,443.0,0.000149
74,106.0,54678.0,443.0,1.4e-05
105,106.0,443.0,54678.0,0.000644
74,106.0,54678.0,443.0,8.1e-05
74,106.0,54678.0,443.0,1e-05
105,106.0,54678.0,443.0,0.00175
105,106.0,54678.0,443.0,1.3e-05
109,106.0,443.0,54678.0,0.004417
74,106.0,54678.0,443.0,0.000155
74,106.0,54678.0,443.0,1.6e-05
163,106.0,52813.0,443.0,0.021709
163,106.0,52813.0,443.0,1.5e-05
163,106.0,52813.0,443.0,0.00144
163,106.0,52813.0,443.0,1.4e-05
163,106.0,52813.0,443.0,0.000366
163,106.0,52813.0,443.0,1.1e-05
163,106.0,52813.0,443.0,0.000742
163,106.0,52813.0,443.0,1.4e-05
163,106.0,52813.0,443.0,0.000357
163,106.0,52813.0,443.0,1.1e-05
163,106.0,52813.0,443.0,3.5e-05
118,106.0,52813.0,443.0,0.000286
118,106.0,52813.0,443.0,1.2e-05
119,106.0,52813.0,443.0,0.00076
119,106.0,52813.0,443.0,1.3e-05
163,106.0,52813.0,443.0,5.2e-05
212,106.0,52813.0,443.0,0.002408
222,106.0,52813.0,443.0,0.0
119,106.0,52813.0,443.0,0.002697
212,106.0,52813.0,443.0,0.005705
173,106.0,52813.0,443.0,0.000182
74,106.0,443.0,54675.0,0.003868
245,106.0,443.0,54675.0,0.0
74,106.0,54675.0,443.0,0.000135
74,106.0,54675.0,443.0,1.2e-05
148,106.0,443.0,54675.0,0.000182
105,106.0,443.0,54675.0,0.0
74,106.0,54675.0,443.0,7.3e-05
74,106.0,54675.0,443.0,7e-06
105,106.0,54675.0,443.0,0.001334
105,106.0,54675.0,443.0,1.4e-05
109,106.0,443.0,54675.0,0.004004
179,106.0,443.0,54675.0,0.0
105,106.0,443.0,54675.0,0.0
74,106.0,54675.0,443.0,0.000165
74,106.0,54675.0,443.0,1.3e-05
261,106.0,54674.0,443.0,0.007528
261,106.0,54674.0,443.0,1.7e-05
74,106.0,443.0,54674.0,0.004115
109,106.0,443.0,54674.0,0.0
74,106.0,54674.0,443.0,0.000167
74,106.0,54674.0,443.0,1.4e-05
441,106.0,443.0,54674.0,0.000444
97,106.0,443.0,54674.0,0.0
1466,106.0,443.0,54674.0,0.0
1000,106.0,443.0,54674.0,0.0
74,106.0,54674.0,443.0,0.000131
74,106.0,54674.0,443.0,9e-06
74,106.0,443.0,54678.0,0.011524
1466,106.0,443.0,54678.0,0.058287
1466,106.0,443.0,54678.0,0.0
428,106.0,443.0,54678.0,0.0
74,106.0,54678.0,443.0,0.000161
74,106.0,54678.0,443.0,1.7e-05
115,106.0,54678.0,443.0,0.014866
115,106.0,54678.0,443.0,1.8e-05
74,106.0,443.0,54678.0,0.034106
109,106.0,443.0,54678.0,0.0
74,106.0,54678.0,443.0,0.000148
74,106.0,54678.0,443.0,1.1e-05
74,106.0,443.0,54675.0,0.002612
1466,106.0,443.0,54678.0,0.12719
1466,106.0,443.0,54678.0,0.0
74,106.0,54678.0,443.0,0.000136
74,106.0,54678.0,443.0,1.1e-05
427,106.0,443.0,54678.0,0.000177
74,106.0,54678.0,443.0,5.9e-05
74,106.0,54678.0,443.0,7e-06
112,106.0,54678.0,443.0,0.0132
112,106.0,54678.0,443.0,1.7e-05
109,106.0,443.0,54678.0,0.034501
74,106.0,54678.0,443.0,0.000124
74,106.0,54678.0,443.0,1.2e-05
1466,106.0,443.0,54678.0,0.130601
1466,106.0,443.0,54678.0,0.0
74,106.0,54678.0,443.0,0.000129
74,106.0,54678.0,443.0,9e-06
427,106.0,443.0,54678.0,0.00017
74,106.0,54678.0,443.0,6e-05
74,106.0,54678.0,443.0,7e-06
112,106.0,54678.0,443.0,0.012954
112,106.0,54678.0,443.0,2.1e-05
109,106.0,443.0,54678.0,0.033793
74,106.0,54678.0,443.0,0.000128
74,106.0,54678.0,443.0,1.2e-05
1466,106.0,443.0,54678.0,0.128521
74,106.0,54678.0,443.0,0.000115
74,106.0,54678.0,443.0,1.1e-05
1466,106.0,443.0,54678.0,0.000765
422,106.0,443.0,54678.0,0.0
74,106.0,54678.0,443.0,9.4e-05
74,106.0,54678.0,443.0,8e-06
86,106.0,54679.0,443.0,1.161501
86,106.0,54679.0,443.0,1e-05
86,106.0,443.0,54679.0,0.037157
74,106.0,54679.0,443.0,0.000177
74,106.0,54679.0,443.0,9e-06
839,106.0,54679.0,443.0,0.012836
839,106.0,54679.0,443.0,1.7e-05
338,106.0,443.0,54679.0,0.036075
74,106.0,54679.0,443.0,0.000134
74,106.0,54679.0,443.0,1e-05
154,106.0,54679.0,443.0,0.008176
154,106.0,54679.0,443.0,1.2e-05
154,106.0,54679.0,443.0,0.000639
154,106.0,54679.0,443.0,1e-05
1418,106.0,54679.0,443.0,0.000389
1418,106.0,54679.0,443.0,0.0
1418,106.0,54679.0,443.0,0.0
338,106.0,54679.0,443.0,0.0
1418,106.0,54679.0,443.0,2e-05
1418,106.0,54679.0,443.0,2e-05
1418,106.0,54679.0,443.0,3e-05
338,106.0,54679.0,443.0,1.6e-05
1418,106.0,54679.0,443.0,0.000491
1418,106.0,54679.0,443.0,0.0
81,106.0,54679.0,443.0,0.0
1418,106.0,54679.0,443.0,1.8e-05
1418,106.0,54679.0,443.0,2.5e-05
81,106.0,54679.0,443.0,1.4e-05
105,106.0,54679.0,443.0,0.000437
105,106.0,54679.0,443.0,8e-06
74,106.0,443.0,54679.0,0.033675
361,106.0,443.0,54679.0,0.0
74,106.0,443.0,54679.0,0.0
135,106.0,443.0,54679.0,0.0
105,106.0,443.0,54679.0,0.0
74,106.0,54679.0,443.0,0.000199
74,106.0,54679.0,443.0,1.1e-05
74,106.0,443.0,54679.0,0.000496
74,106.0,443.0,54679.0,0.0
74,106.0,443.0,54679.0,0.000285
105,106.0,54679.0,443.0,0.000812
105,106.0,54679.0,443.0,1.2e-05
97,106.0,52813.0,443.0,0.064329
97,106.0,52813.0,443.0,1.5e-05
97,106.0,52813.0,443.0,0.000494
97,106.0,52813.0,443.0,9e-06
74,106.0,443.0,54679.0,0.010242
167,106.0,52813.0,443.0,0.00146
223,106.0,52813.0,443.0,0.000245
66,128.0,54680.0,443.0,0.001452
66,128.0,54680.0,443.0,1.2e-05
66,112.0,443.0,54680.0,0.043943
54,128.0,54680.0,443.0,0.000187
54,128.0,54680.0,443.0,9e-06
66,111.0,443.0,54680.0,0.000478
66,111.0,443.0,54680.0,1.1e-05
66,128.0,54680.0,443.0,6.6e-05
66,128.0,54680.0,443.0,1.2e-05
66,127.0,54680.0,443.0,0.000475
66,127.0,54680.0,443.0,9e-06
972,128.0,54680.0,443.0,0.011022
972,128.0,54680.0,443.0,1.8e-05
972,127.0,54680.0,443.0,0.001153
972,127.0,54680.0,443.0,1.6e-05
491,106.0,443.0,54679.0,0.01152
105,106.0,443.0,54679.0,0.0
74,106.0,54679.0,443.0,0.000151
74,106.0,54679.0,443.0,1.3e-05
60,113.0,443.0,54680.0,0.032942
66,112.0,443.0,54680.0,0.0
347,113.0,443.0,54680.0,0.0
54,128.0,54680.0,443.0,0.000161
54,128.0,54680.0,443.0,1e-05
60,112.0,443.0,54680.0,0.000322
60,112.0,443.0,54680.0,1.2e-05
54,128.0,54680.0,443.0,5.6e-05
54,128.0,54680.0,443.0,1.1e-05
66,111.0,443.0,54680.0,0.000232
66,111.0,443.0,54680.0,1e-05
54,128.0,54680.0,443.0,4.2e-05
54,128.0,54680.0,443.0,9e-06
347,112.0,443.0,54680.0,0.00033
347,112.0,443.0,54680.0,9e-06
66,128.0,54680.0,443.0,4.2e-05
66,128.0,54680.0,443.0,9e-06
60,127.0,54680.0,443.0,0.000566
60,127.0,54680.0,443.0,9e-06
60,127.0,54680.0,443.0,0.000977
60,127.0,54680.0,443.0,1.1e-05
60,127.0,54680.0,443.0,0.000153
60,127.0,54680.0,443.0,8e-06
66,127.0,54680.0,443.0,0.000419
66,127.0,54680.0,443.0,1.2e-05
134,128.0,54680.0,443.0,0.005754
134,128.0,54680.0,443.0,1.7e-05
134,127.0,54680.0,443.0,0.000417
134,127.0,54680.0,443.0,1.1e-05
134,128.0,54680.0,443.0,0.000488
134,128.0,54680.0,443.0,1.6e-05
383,128.0,54680.0,443.0,0.000193
383,128.0,54680.0,443.0,1.2e-05
134,127.0,54680.0,443.0,5.6e-05
134,127.0,54680.0,443.0,1.1e-05
383,127.0,54680.0,443.0,0.000481
383,127.0,54680.0,443.0,1e-05
60,113.0,443.0,54680.0,0.042073
66,112.0,443.0,54680.0,0.0
116,113.0,443.0,54680.0,0.0
60,113.0,443.0,54680.0,0.0
85,113.0,443.0,54680.0,0.0
54,128.0,54680.0,443.0,0.000202
54,128.0,54680.0,443.0,1.1e-05
66,112.0,443.0,54680.0,0.000249
66,112.0,443.0,54680.0,0.0
60,112.0,443.0,54680.0,0.000179
60,112.0,443.0,54680.0,1.6e-05
54,128.0,54680.0,443.0,6.3e-05
54,128.0,54680.0,443.0,1e-05
66,111.0,443.0,54680.0,0.000221
66,111.0,443.0,54680.0,7e-06
54,128.0,54680.0,443.0,4e-05
54,128.0,54680.0,443.0,8e-06
116,112.0,443.0,54680.0,0.000184
116,112.0,443.0,54680.0,7e-06
66,128.0,54680.0,443.0,4.4e-05
66,128.0,54680.0,443.0,7e-06
60,112.0,443.0,54680.0,0.000167
60,112.0,443.0,54680.0,7e-06
54,128.0,54680.0,443.0,3.2e-05
54,128.0,54680.0,443.0,6e-06
85,112.0,443.0,54680.0,0.000154
85,112.0,443.0,54680.0,7e-06
66,128.0,54680.0,443.0,3.3e-05
66,128.0,54680.0,443.0,7e-06
60,127.0,54680.0,443.0,0.000168
60,127.0,54680.0,443.0,7e-06
66,111.0,443.0,54680.0,0.00012
66,111.0,443.0,54680.0,7e-06
66,111.0,443.0,54680.0,0.0001
66,111.0,443.0,54680.0,6e-06
60,127.0,54680.0,443.0,0.00014
60,127.0,54680.0,443.0,9e-06
60,127.0,54680.0,443.0,0.000133
60,127.0,54680.0,443.0,8e-06
66,127.0,54680.0,443.0,0.000131
66,127.0,54680.0,443.0,8e-06
60,127.0,54680.0,443.0,0.000155
60,127.0,54680.0,443.0,8e-06
66,127.0,54680.0,443.0,0.000133
66,127.0,54680.0,443.0,8e-06
85,128.0,54680.0,443.0,0.000387
85,128.0,54680.0,443.0,1.2e-05
85,127.0,54680.0,443.0,0.000309
85,127.0,54680.0,443.0,9e-06
565,113.0,443.0,54680.0,0.001246
85,113.0,443.0,54680.0,0.0
54,128.0,54680.0,443.0,0.000142
54,128.0,54680.0,443.0,1.3e-05
565,112.0,443.0,54680.0,0.000598
565,112.0,443.0,54680.0,1.6e-05
66,128.0,54680.0,443.0,5.1e-05
66,128.0,54680.0,443.0,1.2e-05
85,112.0,443.0,54680.0,0.000629
85,112.0,443.0,54680.0,1.3e-05
66,128.0,54680.0,443.0,4.9e-05
66,128.0,54680.0,443.0,1e-05
60,127.0,54680.0,443.0,0.000813
60,127.0,54680.0,443.0,1.3e-05
66,127.0,54680.0,443.0,0.000921
66,127.0,54680.0,443.0,1.4e-05
66,127.0,54680.0,443.0,0.000177
66,127.0,54680.0,443.0,1.3e-05
129,128.0,54680.0,443.0,0.007136
129,128.0,54680.0,443.0,2e-05
129,127.0,54680.0,443.0,0.000401
129,127.0,54680.0,443.0,1e-05
596,112.0,443.0,54680.0,0.028465
66,128.0,54680.0,443.0,8.2e-05
66,128.0,54680.0,443.0,1e-05
596,111.0,443.0,54680.0,0.000496
596,111.0,443.0,54680.0,1.5e-05
66,128.0,54680.0,443.0,4.7e-05
66,128.0,54680.0,443.0,1e-05
66,127.0,54680.0,443.0,0.000447
66,127.0,54680.0,443.0,1.1e-05
66,127.0,54680.0,443.0,0.000454
66,127.0,54680.0,443.0,1e-05
66,112.0,443.0,54680.0,0.000741
66,111.0,443.0,54680.0,0.000424
66,111.0,443.0,54680.0,1.1e-05
60,113.0,443.0,54680.0,0.010388
66,112.0,443.0,54680.0,0.000474
60,112.0,443.0,54680.0,0.000208
60,112.0,443.0,54680.0,1.3e-05
66,111.0,443.0,54680.0,0.000129
66,111.0,443.0,54680.0,9e-06
248,113.0,443.0,54680.0,0.004663
85,113.0,443.0,54680.0,0.0
54,128.0,54680.0,443.0,0.000136
54,128.0,54680.0,443.0,1e-05
248,112.0,443.0,54680.0,0.000486
248,112.0,443.0,54680.0,1.1e-05
66,128.0,54680.0,443.0,4.7e-05
66,128.0,54680.0,443.0,1e-05
85,112.0,443.0,54680.0,0.000304
85,112.0,443.0,54680.0,9e-06
66,128.0,54680.0,443.0,3.7e-05
66,128.0,54680.0,443.0,8e-06
60,127.0,54680.0,443.0,0.000285
60,127.0,54680.0,443.0,1e-05
66,127.0,54680.0,443.0,0.00031
66,127.0,54680.0,443.0,9e-06
66,127.0,54680.0,443.0,0.000146
66,127.0,54680.0,443.0,9e-06
99,106.0,52813.0,443.0,0.011753
99,106.0,52813.0,443.0,1.6e-05
99,106.0,52813.0,443.0,0.00034
99,106.0,52813.0,443.0,1.1e-05
279,112.0,443.0,54680.0,0.010414
66,128.0,54680.0,443.0,7.5e-05
66,128.0,54680.0,443.0,1.1e-05
279,111.0,443.0,54680.0,0.000481
